Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;Discharge_Pump_Work;Discharge_Pump_SFOC;ROB_Fuel_Total;Duration_Shore_Side_Electricity_Reception;Source_System;Last_Updated
2025-06-29;17:00;Noon (Position) - Sea passage;;24;332;S;16;11,21;W;75;22,04;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;24;0;0;0;12,6;1,9;1,1;;;;;0;47,4;448,1;;0;215;495,5;;OVDAPI;2025-10-30 02:44
2025-06-30;00:06;End of sea passage;;7,1;97;S;12;3,46;W;77;15,89;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;7,1;0;0;0;4,2;;0,4;;;;;47;443,9;;;0;215;490,9;;OVDAPI;2025-10-30 02:44
2025-06-30;17:00;Noon (Position) - Sea passage;;16,9;3;S;11;59,83;W;77;12,45;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;0;1;15,9;0;0,2;;0,8;;;0,4;;46;443,5;;;0;215;489,5;;OVDAPI;2025-10-30 02:44
2025-06-30;19:36;Arrival;;2,6;2,5;S;12;2,59;W;77;8,73;CLMJS;PECLL;202509-2-CLMJS-PECLL;;0;0;2,3;0,3;0;0,2;;0,3;;;;;45,5;443,5;;;0;215;489;;OVDAPI;2025-10-30 02:44
2025-07-01;17:00;Noon (Position) - Port;;21,4;0;S;12;2,59;W;77;8,73;PECLL;PECLL;202509-2-CLMJS-PECLL;;14510,26;0;0;0;0;;;1,3;;;0,5;;44,2;443;;;0;215;487,2;;OVDAPI;2025-10-30 02:44
2025-07-01;21:50;Departure;;4,83;0;S;12;2,59;W;77;8,73;PECLL;PECLL;202509-2-CLMJS-PECLL;;14510,26;0;0;0;0;;;0,2;;;0,1;;44;442,9;;;0;215;486,9;;OVDAPI;2025-10-30 02:44
2025-07-01;22:24;Begin of sea passage;;0,57;3;S;12;1,94;W;77;14,19;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0,57;0;0;0,2;;0,1;;;;;43,7;442,9;;;0;215;486,6;;OVDAPI;2025-10-30 02:44
2025-07-02;17:00;Noon (Position) - Sea passage;;18,6;220;S;15;27,58;W;76;13,98;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;18,6;0;0;0;11,1;;0,9;;;;;42,8;431,8;;;0;215;474,6;;OVDAPI;2025-10-30 02:44
2025-07-03;16:00;Noon (Position) - Sea passage;;23;286;S;17;19,91;W;75;17,61;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;23;0;0;0;13,9;;1,1;;;;;41,7;417,9;;;0;215;459,6;;OVDAPI;2025-10-30 02:44
2025-07-04;16:00;Noon (Position) - Sea passage;;24;296;S;24;7,46;W;71;54,93;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;24;0;0;0;14,5;;1,2;;;;;40,5;403,4;;;0;215;443,9;;OVDAPI;2025-10-30 02:44
2025-07-05;02:00;End of sea passage;;10;130;S;26;12,41;W;70;49,14;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;10;0;0;0;6;;0,5;;;;;40;397,4;;;0;215;437,4;;OVDAPI;2025-10-30 02:44
2025-07-05;16:00;Noon (Position) - Sea passage;;14;3;S;26;20,21;W;70;39,85;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0,8;13,2;0;0,1;;0,6;;;0,3;;39,3;397,1;;;0;215;436,4;;OVDAPI;2025-10-30 02:44
2025-07-06;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,11;W;70;39,8;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;38,3;396,6;;;0;215;434,9;;OVDAPI;2025-10-30 02:44
2025-07-07;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,07;W;70;39,72;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;37,3;396,1;;;0;215;433,4;;OVDAPI;2025-10-30 02:44
2025-07-08;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,1;W;70;39,65;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;36,3;395,6;;;0;215;431,9;;OVDAPI;2025-10-30 02:44
2025-07-09;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,09;W;70;39,64;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;35,3;395,1;;;0;215;430,4;;OVDAPI;2025-10-30 02:44
2025-07-10;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,07;W;70;39,67;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;34,3;394,6;;;0;215;428,9;;OVDAPI;2025-10-30 02:44
2025-07-11;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,08;W;70;39,66;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;33,3;394,1;;;0;215;427,4;;OVDAPI;2025-10-30 02:44
2025-07-12;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,04;W;70;39,7;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;32,3;393,6;;;0;215;425,9;;OVDAPI;2025-10-30 02:44
2025-07-13;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,11;W;70;39,62;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;31,3;393,1;;;0;215;424,4;;OVDAPI;2025-10-30 02:44
2025-07-14;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,09;W;70;39,64;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;30,3;392,6;;;0;215;422,9;;OVDAPI;2025-10-30 02:44
2025-07-15;16:00;Noon (Position) - Sea passage;;24;0;;;;;;;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;29,3;392,1;;;0;215;421,4;;OVDAPI;2025-10-30 02:44
2025-07-16;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,07;W;70;39,65;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;28,3;391,6;;;0;215;419,9;;OVDAPI;2025-10-30 02:44
2025-07-17;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,11;W;70;39,62;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;27,3;391,1;;;0;215;418,4;;OVDAPI;2025-10-30 02:44
2025-07-18;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,07;W;70;39,66;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;26,3;390,6;;;0;215;416,9;;OVDAPI;2025-10-30 02:44
2025-07-19;16:00;Noon (Position) - Sea passage;;24;0;;;;;;;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;25,3;390,1;;;0;215;415,4;;OVDAPI;2025-10-30 02:44
2025-07-20;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,08;W;70;39,63;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;24,3;389,6;;;0;215;413,9;;OVDAPI;2025-10-30 02:44
2025-07-21;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,09;W;70;39,62;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;23,3;389,1;;;0;215;412,4;;OVDAPI;2025-10-30 02:44
2025-07-22;16:00;Noon (Position) - Sea passage;;24;0;S;26;20,07;W;70;39,64;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;22,3;388,6;;;0;215;410,9;;OVDAPI;2025-10-30 02:44
2025-07-23;16:00;Noon (Position) - Sea passage;;24;0,03;;;;;;;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;0;24;0;;;1;;;0,5;;21,3;388,1;;;0;215;409,4;;OVDAPI;2025-10-30 02:44
2025-07-24;14:30;Arrival;;22,5;2;S;26;20,04;W;70;39,68;PECLL;CLBAR;202510-1-PECLL-CLBAR;;14510,26;0;1,9;20,6;0;0,1;;1,2;;;0,5;;20;387,6;;;0;215;407,6;;OVDAPI;2025-10-30 02:44
2025-07-24;16:00;Noon (Position) - Port;;1,5;0;;;;;;;CLBAR;CLBAR;202510-1-PECLL-CLBAR;;0;0;0;0;0;;;0,1;;;0,1;;19,9;387,5;;;0;215;407,4;;OVDAPI;2025-10-30 02:44
2025-07-25;16:00;Noon (Position) - Port;;24;0;;;;;;;CLBAR;CLBAR;202510-1-PECLL-CLBAR;;0;0;0;0;0;;;2,8;;;0,5;;17,1;387;;;7875;215;404,1;;OVDAPI;2025-10-30 02:44
2025-07-26;16:00;Noon (Position) - Port;;24;0;S;26;21,04;W;70;38,24;CLBAR;CLBAR;202510-1-PECLL-CLBAR;;0;0;0;0;0;;;1,4;;;0,5;;15,7;386,5;;;700;215;402,2;;OVDAPI;2025-10-30 02:44
2025-07-27;16:00;Noon (Position) - Port;;24;0;;;;;;;CLBAR;CLBAR;202510-1-PECLL-CLBAR;;0;0;0;0;0;;;1,8;;;0,5;;13,9;386;;;3885;215;399,9;;OVDAPI;2025-10-30 02:44
2025-07-27;23:05;Departure;;7,08;0;;;;;;;CLBAR;CLBAR;202510-1-PECLL-CLBAR;;0;0;0;0;0;;;0,7;;;0,3;;13,2;385,7;;;1260;215;398,9;;OVDAPI;2025-10-30 02:44
